,vendor_key,vendor,type_key,type,model_key,model
57,Nintendo,nintendo,vivo-Y83A,vivo_phone,vivo-y66i-a,vivo_phone_y66i-a
58,Tmall-Genie,ali,OPPO-R15,oppo_phone,OPPO-R17,oppo_phone_r17
59,HAIER-PC,haier,Honor_6X,huawei_phone,Honor_Play,huawei_phone_honorplay
60,MiWiFi,xiaomi,HUAWEI_Mate_10,huawei_phone,MIMAX2,xiaomi_phone_max2
61,GainSpanca9152,fitbit,FLA-AL20,huawei_phone,HUAWEI_Y7_Prime,huawei_phone_y7prime
62,DCS-935L,dlink,nova_4,huawei_phone,honor_8_lite,huawei_phone_honor8lite
63,DCS-930LB,dlink,HUAWEI_P10-,huawei_phone,Honor_5C,huawei_phone_honor5c
64,DCH-G020,dlink,Galaxy-S9,samsung_phone,Samsung-Galaxy-S7,samsung_phone_galaxy-s7
65,DCH-S150,dlink,Honor_V9,huawei_phone,ALE-TL00,huawei_phone_p8youth
66,DCH-S220,dlink,Galaxy-A8s,samsung_phone,Smartisan-Pro-2S,smartisan_phone_pro2s
67,DSP-W215,dlink,Galaxy A6s,samsung_phone,KD-55X9000F,sony_tv_kd-55x9000f
68,DCH-S160,dlink,Galaxy-S8,samsung_phone,Galaxy-S8,samsung_phone_galaxy-s8
69,EdimaxTe,edimax,Galaxy-,samsung_phone,Galaxy-S7-edge,samsung_phone_galaxy-s7edge
70,AssmannE,ednet,Galaxy-S7-edge,samsung_phone,SRS-X99,sony_speaker_srs-x99
71,Philips,philips,Redmi4X-hongmishouji,xiaomi_phone,MI6X,xiaomi_phone_6x
72,Osram,osram,Redmi4A-,xiaomi_phone,MiNote3,xiaomi_phone_note3
73,Eq-3Entw,eq-3,XTC_Z2y,xiaotiancai_watch,Redmi4A,xiaomi_phone_redmi4a
74,Espressi,smarter,vivo-X20,vivo_phone,mi6-xiaomishouji,xiaomi_phone_6
75,Tp-LinkT,tplink,MI8Lite-,xiaomi_phone,Redmi4X,xiaomi_phone_redmi4x
76,Withings,withings,vivo-Z3,vivo_phone,,
77,XiamenMe,meitu,Honor_6A,huawei_phone,Redmi6Pro,xiaomi_phone_redmi6pro
78,FujianLa,landi,Honor_5A,huawei_phone,,
79,RuckusWi,ruckus,Honor,huawei_phone,vivo_X6S_A,vivo_phone_x6s-a
80,Lemobile,le,DIG-AL00,huawei_phone,yeelink-light-bslamp1,xiaomi_light_yeelink-bslamp1
81,CRR-UL00,huawei,OPPO-R11s,oppo_phone,,
82,TexasIns,ti,JKM-AL00,huawei_phone,XiaoMi-Air-13-Desktop,xiaomi_computer_air13
83,CVTE,cvte,iPad,apple_pad,PORSCHE_DESIGN_HUAWEI_Mat,huawei_phone_porsche_design_Mate_rs
84,Qihoo360,qihoo360,vivo_X6Plus_D,vivo_phone,HUAWEI_Mate_20_Pro,huawei_phone_mate20pro
85,LetvMobi,le,vivo_X7,vivo_phone,MI8Lite,xiaomi_phone_8lite
86,RedmiNote7-,xiaomi,vivo-y66i,vivo_phone,Honor_8,huawei_phone_honor8
87,HG680-J,fiberhome,D11AP,apple_phone,ATH-AL00,huawei_phone_honor7i
88,Fiberhom,fiberhome,RedmiNote5-,xiaomi_phone,HUAWEI_nova_3e,huawei_phone_nova3e
89,Vmware,vmware,RedmiNote3-,xiaomi_phone,Galaxy-A8s,samsung_phone_galaxy-a8s
90,Guangdon,oppo,vivo-Y55,vivo_phone,Honor_9i,huawei_phone_honor9i
91,LED50D7200I,changhong,MEIZU-PRO-7-Plus,meizu_phone,vivo_X6SPlus,vivo_phone_x6splus
92,Micro-St,msi,MINOTEPro-xiaomishou,xiaomi_phone,iPhone-X,apple_phone_x
93,3com,3com,RedmiNote4-hongmisho,xiaomi_phone,MIPAD4,xiaomi_pad_4
94,Abloomy,abloomy,ThinkPad-E450c,lenovo_computer,HUAWEI_Mate_8,huawei_phone_mate8
95,LgElectr,lg,"OPPO-A5,",oppo_phone,vivo-X23,vivo_phone_x23
96,Htc,htc,HG680-J,fiberhome_tv,"MacBookPro11,4","apple_computer_macbookpro11,4"
97,Amazfit_Smartwatch_8D50,xiaomi,vivo-Y79A,vivo_phone,"MacBookPro14,3","apple_computer_macbookpro14,3"
98,MercuryC,tplink,360-N7,qiku360_phone,"MacBookPro14,2","apple_computer_macbookpro14,2"
99,Wireless AP MW150RM,tplink,TL-WR886N,tplink_router,K93AP,"apple_pad_2,1"
100,HewlettP,hp,"OPPO-Find-X,",oppo_phone,"MacBookAir7,2","apple_computer_macbookair7,2"
101,SuperMic,supermicro,HUAWEI_Mate_8-,huawei_phone,"MacBookPro11,3","apple_computer_macbookpro11,3"
102,AsustekC,asus,[TV] Samsung,samsung_tv,J71AP,"apple_pad_4,1"
103,84d931,h3c,RedmiNote4X-,xiaomi_phone,"MacBookPro11,1","apple_computer_macbookpro11,1"
104,whaley,whaley,PLK-AL10,huawei_phone,"MacBookPro11,2","apple_computer_macbookpro11,2"
105,W50J,whaley,HUAWEI_MAIMANG_5,huawei_phone,"MacBookPro14,1","apple_computer_macbookpro14,1"
106,LED50D7200I_921D,changhong,ESP_07AEFB,smarter_coffee,iPhone-8-Plus,apple_phone_8plus
107,60427f,chuangwei,MIX2-,xiaomi_phone,N841AP,apple_phone_xr
108,780f77,gubei,RedmiNote5A-,xiaomi_phone,HUAWEI_P10,huawei_phone_p10
109,Cybertan,cybertan,OPPO-A7x,oppo_phone,HUAWEI_P20,huawei_phone_p20
110,8cfe57,apple,bbk-H9A-,bbk_jiajiaoji,MiTV4A,xiaomi_tv_4
111,1801f1,xiaomi,bbk-H20-,bbk_jiajiaoji,Redmi3S,xiaomi_phone_redmi3s
112,6ce85c,apple,bbk-S3P-,bbk_jiajiaoji,vivo-Y66,vivo_phone_y66
113,CompalIn,compall,Amazfit_Smartwatch_8D50,xiaomi_watch,xboxone,microsoft_gameconsole_xboxone
114,a45046,xiaomi,Wireless N Router WR700N,tplink_router,"AppleTV3,1",apple_tv_a1427
115,bcfed9,apple,MiNote3-,xiaomi_phone,Honor_9,huawei_phone_honor9
116,74b587,apple,MI8-,xiaomi_phone,MAIMANG_7,huawei_phone_maimang7
117,ecc40d,nintendo,360-1707-A01,qiku360_phone,Amazfit_Smartwatch_8D50,xiaomi_watch_8D50
118,74b587,apple,lgwebostv,lg_tv,Redmi5Plus,xiaomi_phone_redmi5plus
119,38539c,apple,SRS-X99,sony_speaker,Honor_Magic_2,huawei_phone_honormagic2
120,58e6ba,apple,vivo-Z1i,vivo_phone,,
121,f83880,apple,XiamenMe,meitu_phone,Lightify-7B5F6B,osram_light_lightify
122,94f6d6,apple,MI5X-,xiaomi_phone,HUAWEI_M5,huawei_pad_m5
123,241b7a,apple,vivo-NEX-A,vivo_phone,vivo-Y67A,vivo_phone_y67a
124,a45046,xiaomi,MI6X-,xiaomi_phone,EPSON WF-3640 Series,epson_printer_wf-3640
125,9809cf,oneplus,OPPO-R17-Pro,oppo_phone,vivo-X21UD-A,vivo_phone_x21ud-a
126,608c4a,apple,MI6-,xiaomi_phone,DCS-935L,dlink_camera_dcs-935l
127,7c035e,xiaomi,MEIZU-MX6,meizu_phone,Nintendo,nintendo_gameconsole_switch
128,bcb863,apple,MIX2SART-,xiaomi_phone,Galaxy-Note8,samsung_phone_galaxy-note8
